C1,C2,C3
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
  LeadingSpace,TrailingSpace  ,"""WithQuotes"""
